"X.1","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
251544,51544,"RT @TypewriterIntl: Someone Wrote An Erotic Novel About Donald Trump And The Reviews Are Hilarious  https://t.co/KNvSnbaT83",FALSE,0,NA,"2016-01-26 10:34:08",FALSE,NA,691932125151543296,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","Bc_viola",3,TRUE,FALSE,NA,NA
3614,173,"RT @exjon: In other words, Donald Trump refused to serve. @HouseCracka @AndreaTantaros",FALSE,0,NA,"2016-01-29 22:14:48",FALSE,NA,693195618097991680,NA,"<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Plus</a>","DebWilliams57",2,TRUE,FALSE,NA,NA
78357,3732,"RT @Curt__Burt: Very sad to hear about Donald Trump. Nothing happened to him I'm just sad to hear about him",FALSE,0,NA,"2016-02-06 23:55:40",FALSE,NA,696120102480166912,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PeetasArrow",12344,TRUE,FALSE,NA,NA
140342,6683,"Donald Trump is savage AF... Bought Jeb Bush website domain. https://t.co/ksX7Ibk266 goes to Donald's website. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,2,NA,"2016-02-16 22:17:16",FALSE,NA,699719220012191744,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MuzzikkKid",0,FALSE,FALSE,NA,NA
175611,8363,"RT @CauseWereGuys: The true identity of Donald Trump has been revealed https://t.co/tSt1JdP87Z",FALSE,0,NA,"2016-02-05 20:25:37",FALSE,NA,695704854199721984,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlondeBob213",849,TRUE,FALSE,NA,NA
31401,1496,"RT @Curt__Burt: Very sad to hear about Donald Trump. Nothing happened to him I'm just sad to hear about him",FALSE,0,NA,"2016-02-02 11:17:43",FALSE,NA,694479805715058688,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","siriusIylupin",4106,TRUE,FALSE,NA,NA
215378,15378,"RT @AntDeRosa: Trump gets the important racist, homophobic ex-relief-pitcher endorsement https://t.co/cgdSJ5plDk",FALSE,0,NA,"2016-01-26 17:04:31",FALSE,NA,692030367021285376,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","davecdnb",15,TRUE,FALSE,NA,NA
16798,800,"@mefbama  With the blessing of the forked tongue Donald Trump,,",FALSE,0,"mefbama","2016-02-15 22:19:59",FALSE,699352807204380672,699357512563363840,381308128,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","butforthe",0,FALSE,FALSE,NA,NA
230326,30326,"RT @SoDamnTrue: who would you rather have as the president
rt for conchobar
like for donald trump https://t.co/ePqoTfDXny",FALSE,0,NA,"2016-01-26 15:03:35",FALSE,NA,691999931771461632,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uhnonicole",10842,TRUE,FALSE,NA,NA
181618,8649,"RT @hatinring: The Real Election Battle Is Between Wall Street Cronies And Non Wall Street Donald Trump https://t.co/Dh44LASTUD https://t.c…",FALSE,0,NA,"2016-02-06 22:37:01",FALSE,NA,696100309651709952,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","saskamare",3,TRUE,FALSE,NA,NA
144602,6886,"RT @aidno: #MyTop3______ Rearrangements of the letters in Donald Trump's name:
1) Don't Drum Pal
2) Old Dump Rant
3) Alt Mudd Porn",FALSE,0,NA,"2016-02-13 23:37:00",FALSE,NA,698652120094896128,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ABitContrary",3,TRUE,FALSE,NA,NA
